group,id,course,semester,grade
1,41,Combat Tactics and Self-Defense,2,6.5
1,41,Combat Tactics and Self-Defense,2,11
1,41,Community Building and Social Organization,2,13.4
1,41,Community Building and Social Organization,2,15.7
1,41,Community Building and Social Organization,2,10.6
1,41,Community Building and Social Organization,2,12.7
1,41,Community Building and Social Organization,2,8.8
1,41,Community Building and Social Organization,2,10.2
1,41,Mechanical Engineering and Vehicle Repair,1,9
1,41,Mechanical Engineering and Vehicle Repair,1,11
1,41,Moral Philosophy and Ethical Decision-Making,1,12
1,41,Moral Philosophy and Ethical Decision-Making,1,10
1,41,Moral Philosophy and Ethical Decision-Making,1,10
1,41,Moral Philosophy and Ethical Decision-Making,1,9
1,41,Moral Philosophy and Ethical Decision-Making,1,10.5
1,41,Moral Philosophy and Ethical Decision-Making,1,8.5
1,41,Moral Philosophy and Ethical Decision-Making,1,10
1,41,Post-Apocalyptic History and Archaeology,2,13
1,41,Post-Apocalyptic History and Archaeology,2,9
1,41,Post-Apocalyptic History and Archaeology,2,8
1,41,Post-Apocalyptic History and Archaeology,2,11.5
1,41,Radiation Ecology and Environmental Science,1,19.5
1,41,Radiation Ecology and Environmental Science,1,13
1,41,Radiation Ecology and Environmental Science,1,14
1,41,Radiation Ecology and Environmental Science,1,9.5
1,41,Radiation Ecology and Environmental Science,1,10.5
1,41,Radiation Ecology and Environmental Science,1,12.5
1,41,Radiation Ecology and Environmental Science,1,15.5
1,41,Radiation Ecology and Environmental Science,1,14
1,41,Renewable Energy and Sustainable Living,2,8
1,41,Renewable Energy and Sustainable Living,2,9
1,41,Renewable Energy and Sustainable Living,2,10
1,41,Renewable Energy and Sustainable Living,2,10
1,41,Renewable Energy and Sustainable Living,2,10
1,41,Renewable Energy and Sustainable Living,2,8
1,41,Scavenging and Resource Management,1,7.5
1,41,Scavenging and Resource Management,1,5.75
1,41,Scavenging and Resource Management,1,4.75
1,41,Scavenging and Resource Management,1,9
1,41,Scavenging and Resource Management,1,8.5
1,41,Scavenging and Resource Management,1,9
1,41,Scavenging and Resource Management,1,4.25
1,41,Scavenging and Resource Management,1,7.5
1,41,Scavenging and Resource Management,1,6
1,41,Survival Skills and Wilderness Medicine,1,9
1,41,Survival Skills and Wilderness Medicine,1,11.5
1,41,Survival Skills and Wilderness Medicine,1,12
1,41,Survival Skills and Wilderness Medicine,1,13
1,41,Survival Skills and Wilderness Medicine,1,12
1,41,Survival Skills and Wilderness Medicine,1,13
1,44,Art and Expression in a Post-Apocalyptic World,2,12.5
1,44,Art and Expression in a Post-Apocalyptic World,2,12
1,44,Art and Expression in a Post-Apocalyptic World,2,13.5
1,44,Art and Expression in a Post-Apocalyptic World,2,12.5
1,44,Art and Expression in a Post-Apocalyptic World,2,13.5
1,44,Art and Expression in a Post-Apocalyptic World,2,13.5
1,44,Art and Expression in a Post-Apocalyptic World,2,9.5
1,44,Art and Expression in a Post-Apocalyptic World,2,8
1,44,Art and Expression in a Post-Apocalyptic World,2,11
1,44,Art and Expression in a Post-Apocalyptic World,2,10
1,44,Combat Tactics and Self-Defense,2,10
1,44,Combat Tactics and Self-Defense,2,11
1,44,Community Building and Social Organization,2,11.1
1,44,Community Building and Social Organization,2,11.2
1,44,Community Building and Social Organization,2,11.9
1,44,Community Building and Social Organization,2,13.5
1,44,Community Building and Social Organization,2,14.3
1,44,Community Building and Social Organization,2,12
1,44,Community Building and Social Organization,2,10.7
1,44,Mechanical Engineering and Vehicle Repair,1,10.5
1,44,Mechanical Engineering and Vehicle Repair,1,13
1,44,Mechanical Engineering and Vehicle Repair,1,12.5
1,44,Moral Philosophy and Ethical Decision-Making,1,10.5
1,44,Moral Philosophy and Ethical Decision-Making,1,8
1,44,Moral Philosophy and Ethical Decision-Making,1,7
1,44,Moral Philosophy and Ethical Decision-Making,1,11.5
1,44,Moral Philosophy and Ethical Decision-Making,1,10.5
1,44,Moral Philosophy and Ethical Decision-Making,1,9
1,44,Moral Philosophy and Ethical Decision-Making,1,6.5
1,44,Post-Apocalyptic History and Archaeology,2,12
1,44,Post-Apocalyptic History and Archaeology,2,10.5
1,44,Post-Apocalyptic History and Archaeology,2,11.5
1,44,Post-Apocalyptic History and Archaeology,2,9.5
1,44,Radiation Ecology and Environmental Science,1,16.5
1,44,Radiation Ecology and Environmental Science,1,15.5
1,44,Radiation Ecology and Environmental Science,1,14.5
1,44,Radiation Ecology and Environmental Science,1,17
1,44,Radiation Ecology and Environmental Science,1,8.5
1,44,Radiation Ecology and Environmental Science,1,17.5
1,44,Radiation Ecology and Environmental Science,1,16
1,44,Radiation Ecology and Environmental Science,1,12
1,44,Radiation Ecology and Environmental Science,1,13
1,44,Radiation Ecology and Environmental Science,1,10.5
1,44,Renewable Energy and Sustainable Living,2,10
1,44,Renewable Energy and Sustainable Living,2,9
1,44,Renewable Energy and Sustainable Living,2,8
1,44,Renewable Energy and Sustainable Living,2,7
1,44,Renewable Energy and Sustainable Living,2,9
1,44,Renewable Energy and Sustainable Living,2,9
1,44,Scavenging and Resource Management,1,6.75
1,44,Scavenging and Resource Management,1,8.25
1,44,Scavenging and Resource Management,1,8.5
1,44,Scavenging and Resource Management,1,6.5
1,44,Scavenging and Resource Management,1,7
1,44,Scavenging and Resource Management,1,9
1,44,Scavenging and Resource Management,1,6.25
1,44,Scavenging and Resource Management,1,5.25
1,44,Survival Skills and Wilderness Medicine,1,9.5
1,44,Survival Skills and Wilderness Medicine,1,13
1,44,Survival Skills and Wilderness Medicine,1,13
1,44,Survival Skills and Wilderness Medicine,1,10
1,44,Survival Skills and Wilderness Medicine,1,10.5
1,44,Survival Skills and Wilderness Medicine,1,10
1,70,Art and Expression in a Post-Apocalyptic World,2,9.5
1,70,Art and Expression in a Post-Apocalyptic World,2,16.5
1,70,Art and Expression in a Post-Apocalyptic World,2,12.5
1,70,Art and Expression in a Post-Apocalyptic World,2,12.5
1,70,Art and Expression in a Post-Apocalyptic World,2,14
1,70,Art and Expression in a Post-Apocalyptic World,2,11
1,70,Art and Expression in a Post-Apocalyptic World,2,12.5
1,70,Art and Expression in a Post-Apocalyptic World,2,12
1,70,Art and Expression in a Post-Apocalyptic World,2,11
1,70,Combat Tactics and Self-Defense,2,11.5
1,70,Combat Tactics and Self-Defense,2,13.5
1,70,Combat Tactics and Self-Defense,2,12.5
1,70,Community Building and Social Organization,2,13.8
1,70,Community Building and Social Organization,2,11.2
1,70,Community Building and Social Organization,2,12.3
1,70,Community Building and Social Organization,2,12.1
1,70,Community Building and Social Organization,2,11.7
1,70,Community Building and Social Organization,2,15
1,70,Community Building and Social Organization,2,11.5
1,70,Mechanical Engineering and Vehicle Repair,1,9.5
1,70,Mechanical Engineering and Vehicle Repair,1,10.5
1,70,Mechanical Engineering and Vehicle Repair,1,12
1,70,Moral Philosophy and Ethical Decision-Making,1,10
1,70,Moral Philosophy and Ethical Decision-Making,1,7.5
1,70,Moral Philosophy and Ethical Decision-Making,1,6
1,70,Moral Philosophy and Ethical Decision-Making,1,9
1,70,Moral Philosophy and Ethical Decision-Making,1,7.5
1,70,Moral Philosophy and Ethical Decision-Making,1,11
1,70,Post-Apocalyptic History and Archaeology,2,10.5
1,70,Post-Apocalyptic History and Archaeology,2,12.5
1,70,Post-Apocalyptic History and Archaeology,2,13.5
1,70,Post-Apocalyptic History and Archaeology,2,11.5
1,70,Radiation Ecology and Environmental Science,1,13
1,70,Radiation Ecology and Environmental Science,1,15.5
1,70,Radiation Ecology and Environmental Science,1,8
1,70,Radiation Ecology and Environmental Science,1,15
1,70,Radiation Ecology and Environmental Science,1,12.5
1,70,Radiation Ecology and Environmental Science,1,12
1,70,Radiation Ecology and Environmental Science,1,13
1,70,Radiation Ecology and Environmental Science,1,13
1,70,Radiation Ecology and Environmental Science,1,10
1,70,Radiation Ecology and Environmental Science,1,13
1,70,Renewable Energy and Sustainable Living,2,10
1,70,Renewable Energy and Sustainable Living,2,9
1,70,Renewable Energy and Sustainable Living,2,7
1,70,Renewable Energy and Sustainable Living,2,9
1,70,Renewable Energy and Sustainable Living,2,8
1,70,Renewable Energy and Sustainable Living,2,10
1,70,Scavenging and Resource Management,1,6.25
1,70,Scavenging and Resource Management,1,12.5
1,70,Scavenging and Resource Management,1,7
1,70,Scavenging and Resource Management,1,6.25
1,70,Scavenging and Resource Management,1,8.75
1,70,Scavenging and Resource Management,1,6.25
1,70,Scavenging and Resource Management,1,7.5
1,70,Scavenging and Resource Management,1,7.75
1,70,Survival Skills and Wilderness Medicine,1,12.5
1,70,Survival Skills and Wilderness Medicine,1,10.5
1,70,Survival Skills and Wilderness Medicine,1,12.5
1,70,Survival Skills and Wilderness Medicine,1,10.5
1,70,Survival Skills and Wilderness Medicine,1,10
1,70,Survival Skills and Wilderness Medicine,1,10.5
1,82,Art and Expression in a Post-Apocalyptic World,2,15.5
1,82,Art and Expression in a Post-Apocalyptic World,2,13.5
1,82,Art and Expression in a Post-Apocalyptic World,2,15
1,82,Art and Expression in a Post-Apocalyptic World,2,11
1,82,Art and Expression in a Post-Apocalyptic World,2,15
1,82,Art and Expression in a Post-Apocalyptic World,2,11.5
1,82,Art and Expression in a Post-Apocalyptic World,2,9.5
1,82,Art and Expression in a Post-Apocalyptic World,2,11.5
1,82,Art and Expression in a Post-Apocalyptic World,2,12.5
1,82,Art and Expression in a Post-Apocalyptic World,2,8.5
1,82,Combat Tactics and Self-Defense,2,7
1,82,Combat Tactics and Self-Defense,2,9
1,82,Combat Tactics and Self-Defense,2,11
1,82,Community Building and Social Organization,2,13.1
1,82,Community Building and Social Organization,2,8.9
1,82,Community Building and Social Organization,2,10
1,82,Community Building and Social Organization,2,11.2
1,82,Community Building and Social Organization,2,13
1,82,Community Building and Social Organization,2,12.1
1,82,Community Building and Social Organization,2,12.6
1,82,Mechanical Engineering and Vehicle Repair,1,8.5
1,82,Mechanical Engineering and Vehicle Repair,1,7.5
1,82,Mechanical Engineering and Vehicle Repair,1,7.5
1,82,Moral Philosophy and Ethical Decision-Making,1,8
1,82,Moral Philosophy and Ethical Decision-Making,1,8
1,82,Moral Philosophy and Ethical Decision-Making,1,10.5
1,82,Moral Philosophy and Ethical Decision-Making,1,12
1,82,Moral Philosophy and Ethical Decision-Making,1,9.5
1,82,Moral Philosophy and Ethical Decision-Making,1,9.5
1,82,Moral Philosophy and Ethical Decision-Making,1,11
1,82,Post-Apocalyptic History and Archaeology,2,12
1,82,Post-Apocalyptic History and Archaeology,2,11
1,82,Post-Apocalyptic History and Archaeology,2,12.5
1,82,Post-Apocalyptic History and Archaeology,2,13
1,82,Radiation Ecology and Environmental Science,1,14
1,82,Radiation Ecology and Environmental Science,1,14
1,82,Radiation Ecology and Environmental Science,1,12.5
1,82,Radiation Ecology and Environmental Science,1,8.5
1,82,Radiation Ecology and Environmental Science,1,15.5
1,82,Radiation Ecology and Environmental Science,1,13.5
1,82,Radiation Ecology and Environmental Science,1,14.5
1,82,Radiation Ecology and Environmental Science,1,15
1,82,Radiation Ecology and Environmental Science,1,14.5
1,82,Renewable Energy and Sustainable Living,2,9
1,82,Renewable Energy and Sustainable Living,2,9
1,82,Renewable Energy and Sustainable Living,2,8
1,82,Renewable Energy and Sustainable Living,2,8
1,82,Renewable Energy and Sustainable Living,2,9
1,82,Renewable Energy and Sustainable Living,2,8
1,82,Scavenging and Resource Management,1,7.75
1,82,Scavenging and Resource Management,1,10
1,82,Scavenging and Resource Management,1,9.25
1,82,Scavenging and Resource Management,1,5.75
1,82,Scavenging and Resource Management,1,9.25
1,82,Scavenging and Resource Management,1,9.25
1,82,Scavenging and Resource Management,1,7.5
1,82,Scavenging and Resource Management,1,9.25
1,82,Scavenging and Resource Management,1,7.75
1,82,Survival Skills and Wilderness Medicine,1,12
1,82,Survival Skills and Wilderness Medicine,1,13
1,82,Survival Skills and Wilderness Medicine,1,11.5
1,82,Survival Skills and Wilderness Medicine,1,13
1,82,Survival Skills and Wilderness Medicine,1,11.5
1,82,Survival Skills and Wilderness Medicine,1,8.5
1,88,Art and Expression in a Post-Apocalyptic World,2,15.5
1,88,Art and Expression in a Post-Apocalyptic World,2,10
1,88,Art and Expression in a Post-Apocalyptic World,2,10.5
1,88,Art and Expression in a Post-Apocalyptic World,2,17
1,88,Art and Expression in a Post-Apocalyptic World,2,14.5
1,88,Art and Expression in a Post-Apocalyptic World,2,13.5
1,88,Art and Expression in a Post-Apocalyptic World,2,10.5
1,88,Art and Expression in a Post-Apocalyptic World,2,8.5
1,88,Art and Expression in a Post-Apocalyptic World,2,12.5
1,88,Art and Expression in a Post-Apocalyptic World,2,13.5
1,88,Combat Tactics and Self-Defense,2,6
1,88,Combat Tactics and Self-Defense,2,12
1,88,Combat Tactics and Self-Defense,2,7
1,88,Community Building and Social Organization,2,11.9
1,88,Community Building and Social Organization,2,12
1,88,Community Building and Social Organization,2,13.7
1,88,Community Building and Social Organization,2,14
1,88,Community Building and Social Organization,2,11.1
1,88,Community Building and Social Organization,2,12.6
1,88,Mechanical Engineering and Vehicle Repair,1,8.5
1,88,Mechanical Engineering and Vehicle Repair,1,12
1,88,Mechanical Engineering and Vehicle Repair,1,10.5
1,88,Moral Philosophy and Ethical Decision-Making,1,9.5
1,88,Moral Philosophy and Ethical Decision-Making,1,7
1,88,Moral Philosophy and Ethical Decision-Making,1,8
1,88,Moral Philosophy and Ethical Decision-Making,1,10
1,88,Moral Philosophy and Ethical Decision-Making,1,10.5
1,88,Moral Philosophy and Ethical Decision-Making,1,9.5
1,88,Moral Philosophy and Ethical Decision-Making,1,9
1,88,Post-Apocalyptic History and Archaeology,2,11.5
1,88,Post-Apocalyptic History and Archaeology,2,10.5
1,88,Post-Apocalyptic History and Archaeology,2,13.5
1,88,Post-Apocalyptic History and Archaeology,2,13.5
1,88,Radiation Ecology and Environmental Science,1,11
1,88,Radiation Ecology and Environmental Science,1,14
1,88,Radiation Ecology and Environmental Science,1,12.5
1,88,Radiation Ecology and Environmental Science,1,13
1,88,Radiation Ecology and Environmental Science,1,11
1,88,Radiation Ecology and Environmental Science,1,12.5
1,88,Radiation Ecology and Environmental Science,1,11.5
1,88,Radiation Ecology and Environmental Science,1,15
1,88,Radiation Ecology and Environmental Science,1,13
1,88,Radiation Ecology and Environmental Science,1,13
1,88,Renewable Energy and Sustainable Living,2,8
1,88,Renewable Energy and Sustainable Living,2,8
1,88,Renewable Energy and Sustainable Living,2,7
1,88,Renewable Energy and Sustainable Living,2,8
1,88,Renewable Energy and Sustainable Living,2,10
1,88,Renewable Energy and Sustainable Living,2,8
1,88,Scavenging and Resource Management,1,7.25
1,88,Scavenging and Resource Management,1,10.5
1,88,Scavenging and Resource Management,1,8.75
1,88,Scavenging and Resource Management,1,3.25
1,88,Scavenging and Resource Management,1,6.75
1,88,Scavenging and Resource Management,1,6
1,88,Scavenging and Resource Management,1,7.75
1,88,Scavenging and Resource Management,1,9.5
1,88,Scavenging and Resource Management,1,7.5
1,88,Survival Skills and Wilderness Medicine,1,10
1,88,Survival Skills and Wilderness Medicine,1,12.5
1,88,Survival Skills and Wilderness Medicine,1,9
1,88,Survival Skills and Wilderness Medicine,1,12.5
1,88,Survival Skills and Wilderness Medicine,1,10.5
1,88,Survival Skills and Wilderness Medicine,1,10
1,118,Art and Expression in a Post-Apocalyptic World,2,10.5
1,118,Art and Expression in a Post-Apocalyptic World,2,11
1,118,Art and Expression in a Post-Apocalyptic World,2,12
1,118,Art and Expression in a Post-Apocalyptic World,2,9
1,118,Art and Expression in a Post-Apocalyptic World,2,7
1,118,Art and Expression in a Post-Apocalyptic World,2,12.5
1,118,Art and Expression in a Post-Apocalyptic World,2,8.5
1,118,Art and Expression in a Post-Apocalyptic World,2,15
1,118,Art and Expression in a Post-Apocalyptic World,2,10
1,118,Art and Expression in a Post-Apocalyptic World,2,10.5
1,118,Combat Tactics and Self-Defense,2,8.5
1,118,Combat Tactics and Self-Defense,2,16
1,118,Combat Tactics and Self-Defense,2,11.5
1,118,Community Building and Social Organization,2,12.9
1,118,Community Building and Social Organization,2,13.9
1,118,Community Building and Social Organization,2,14.2
1,118,Community Building and Social Organization,2,11.2
1,118,Community Building and Social Organization,2,15.2
1,118,Community Building and Social Organization,2,11.5
1,118,Community Building and Social Organization,2,11.1
1,118,Mechanical Engineering and Vehicle Repair,1,12.5
1,118,Mechanical Engineering and Vehicle Repair,1,10
1,118,Mechanical Engineering and Vehicle Repair,1,8.5
1,118,Moral Philosophy and Ethical Decision-Making,1,8.5
1,118,Moral Philosophy and Ethical Decision-Making,1,7
1,118,Moral Philosophy and Ethical Decision-Making,1,9.5
1,118,Moral Philosophy and Ethical Decision-Making,1,9.5
1,118,Moral Philosophy and Ethical Decision-Making,1,7.5
1,118,Moral Philosophy and Ethical Decision-Making,1,10.5
1,118,Post-Apocalyptic History and Archaeology,2,11
1,118,Post-Apocalyptic History and Archaeology,2,12.5
1,118,Post-Apocalyptic History and Archaeology,2,10
1,118,Post-Apocalyptic History and Archaeology,2,10.5
1,118,Radiation Ecology and Environmental Science,1,7
1,118,Radiation Ecology and Environmental Science,1,15
1,118,Radiation Ecology and Environmental Science,1,11
1,118,Radiation Ecology and Environmental Science,1,9
1,118,Radiation Ecology and Environmental Science,1,11.5
1,118,Radiation Ecology and Environmental Science,1,12
1,118,Radiation Ecology and Environmental Science,1,12.5
1,118,Radiation Ecology and Environmental Science,1,10.5
1,118,Radiation Ecology and Environmental Science,1,13
1,118,Radiation Ecology and Environmental Science,1,15
1,118,Renewable Energy and Sustainable Living,2,8
1,118,Renewable Energy and Sustainable Living,2,10
1,118,Renewable Energy and Sustainable Living,2,7
1,118,Renewable Energy and Sustainable Living,2,6
1,118,Renewable Energy and Sustainable Living,2,11
1,118,Renewable Energy and Sustainable Living,2,12
1,118,Scavenging and Resource Management,1,8.5
1,118,Scavenging and Resource Management,1,8
1,118,Scavenging and Resource Management,1,8.75
1,118,Scavenging and Resource Management,1,7.75
1,118,Scavenging and Resource Management,1,8.75
1,118,Scavenging and Resource Management,1,8
1,118,Scavenging and Resource Management,1,6.75
1,118,Scavenging and Resource Management,1,8.5
1,118,Scavenging and Resource Management,1,8
1,118,Survival Skills and Wilderness Medicine,1,10.5
1,118,Survival Skills and Wilderness Medicine,1,13.5
1,118,Survival Skills and Wilderness Medicine,1,12
1,118,Survival Skills and Wilderness Medicine,1,12
1,118,Survival Skills and Wilderness Medicine,1,7
1,118,Survival Skills and Wilderness Medicine,1,9
1,130,Art and Expression in a Post-Apocalyptic World,2,13
1,130,Art and Expression in a Post-Apocalyptic World,2,9.5
1,130,Art and Expression in a Post-Apocalyptic World,2,8
1,130,Art and Expression in a Post-Apocalyptic World,2,11.5
1,130,Art and Expression in a Post-Apocalyptic World,2,12.5
1,130,Art and Expression in a Post-Apocalyptic World,2,14
1,130,Art and Expression in a Post-Apocalyptic World,2,14
1,130,Art and Expression in a Post-Apocalyptic World,2,11
1,130,Art and Expression in a Post-Apocalyptic World,2,11.5
1,130,Art and Expression in a Post-Apocalyptic World,2,12
1,130,Combat Tactics and Self-Defense,2,13
1,130,Combat Tactics and Self-Defense,2,12
1,130,Combat Tactics and Self-Defense,2,9.5
1,130,Community Building and Social Organization,2,11.8
1,130,Community Building and Social Organization,2,14
1,130,Community Building and Social Organization,2,12.1
1,130,Community Building and Social Organization,2,15.8
1,130,Community Building and Social Organization,2,11.8
1,130,Community Building and Social Organization,2,13.4
1,130,Community Building and Social Organization,2,13.8
1,130,Mechanical Engineering and Vehicle Repair,1,7
1,130,Mechanical Engineering and Vehicle Repair,1,12
1,130,Mechanical Engineering and Vehicle Repair,1,11.5
1,130,Moral Philosophy and Ethical Decision-Making,1,10.5
1,130,Moral Philosophy and Ethical Decision-Making,1,9.5
1,130,Moral Philosophy and Ethical Decision-Making,1,9.5
1,130,Moral Philosophy and Ethical Decision-Making,1,9.5
1,130,Moral Philosophy and Ethical Decision-Making,1,9
1,130,Moral Philosophy and Ethical Decision-Making,1,8.5
1,130,Moral Philosophy and Ethical Decision-Making,1,10
1,130,Post-Apocalyptic History and Archaeology,2,10.5
1,130,Post-Apocalyptic History and Archaeology,2,11
1,130,Post-Apocalyptic History and Archaeology,2,12.5
1,130,Post-Apocalyptic History and Archaeology,2,11
1,130,Radiation Ecology and Environmental Science,1,15
1,130,Radiation Ecology and Environmental Science,1,12.5
1,130,Radiation Ecology and Environmental Science,1,11.5
1,130,Radiation Ecology and Environmental Science,1,14.5
1,130,Radiation Ecology and Environmental Science,1,12.5
1,130,Radiation Ecology and Environmental Science,1,17.5
1,130,Radiation Ecology and Environmental Science,1,14
1,130,Radiation Ecology and Environmental Science,1,16
1,130,Radiation Ecology and Environmental Science,1,12.5
1,130,Radiation Ecology and Environmental Science,1,16
1,130,Renewable Energy and Sustainable Living,2,9
1,130,Renewable Energy and Sustainable Living,2,9
1,130,Renewable Energy and Sustainable Living,2,10
1,130,Renewable Energy and Sustainable Living,2,8
1,130,Renewable Energy and Sustainable Living,2,10
1,130,Renewable Energy and Sustainable Living,2,12
1,130,Scavenging and Resource Management,1,7
1,130,Scavenging and Resource Management,1,7.75
1,130,Scavenging and Resource Management,1,11
1,130,Scavenging and Resource Management,1,8.5
1,130,Scavenging and Resource Management,1,9.25
1,130,Scavenging and Resource Management,1,7.5
1,130,Scavenging and Resource Management,1,11.25
1,130,Scavenging and Resource Management,1,9.5
1,130,Scavenging and Resource Management,1,10
1,130,Survival Skills and Wilderness Medicine,1,13
1,130,Survival Skills and Wilderness Medicine,1,12
1,130,Survival Skills and Wilderness Medicine,1,11
1,130,Survival Skills and Wilderness Medicine,1,11
1,130,Survival Skills and Wilderness Medicine,1,11.5
1,130,Survival Skills and Wilderness Medicine,1,11
1,179,Art and Expression in a Post-Apocalyptic World,2,11
1,179,Art and Expression in a Post-Apocalyptic World,2,9
1,179,Art and Expression in a Post-Apocalyptic World,2,14.5
1,179,Art and Expression in a Post-Apocalyptic World,2,13
1,179,Art and Expression in a Post-Apocalyptic World,2,13.5
1,179,Art and Expression in a Post-Apocalyptic World,2,10
1,179,Art and Expression in a Post-Apocalyptic World,2,12
1,179,Art and Expression in a Post-Apocalyptic World,2,13
1,179,Art and Expression in a Post-Apocalyptic World,2,12.5
1,179,Art and Expression in a Post-Apocalyptic World,2,10.5
1,179,Combat Tactics and Self-Defense,2,5
1,179,Combat Tactics and Self-Defense,2,10.5
1,179,Combat Tactics and Self-Defense,2,12
1,179,Community Building and Social Organization,2,13.7
1,179,Community Building and Social Organization,2,13.6
1,179,Community Building and Social Organization,2,10.5
1,179,Community Building and Social Organization,2,12.6
1,179,Community Building and Social Organization,2,11.7
1,179,Community Building and Social Organization,2,13.7
1,179,Mechanical Engineering and Vehicle Repair,1,11.5
1,179,Mechanical Engineering and Vehicle Repair,1,8.5
1,179,Moral Philosophy and Ethical Decision-Making,1,9.5
1,179,Moral Philosophy and Ethical Decision-Making,1,7
1,179,Moral Philosophy and Ethical Decision-Making,1,7.5
1,179,Moral Philosophy and Ethical Decision-Making,1,10.5
1,179,Moral Philosophy and Ethical Decision-Making,1,9.5
1,179,Moral Philosophy and Ethical Decision-Making,1,5.5
1,179,Moral Philosophy and Ethical Decision-Making,1,11.5
1,179,Post-Apocalyptic History and Archaeology,2,8.5
1,179,Post-Apocalyptic History and Archaeology,2,10
1,179,Post-Apocalyptic History and Archaeology,2,11.5
1,179,Post-Apocalyptic History and Archaeology,2,12.5
1,179,Radiation Ecology and Environmental Science,1,13.5
1,179,Radiation Ecology and Environmental Science,1,12
1,179,Radiation Ecology and Environmental Science,1,10
1,179,Radiation Ecology and Environmental Science,1,12
1,179,Radiation Ecology and Environmental Science,1,14.5
1,179,Radiation Ecology and Environmental Science,1,13.5
1,179,Radiation Ecology and Environmental Science,1,16.5
1,179,Radiation Ecology and Environmental Science,1,11.5
1,179,Radiation Ecology and Environmental Science,1,8
1,179,Radiation Ecology and Environmental Science,1,12
1,179,Renewable Energy and Sustainable Living,2,7
1,179,Renewable Energy and Sustainable Living,2,9
1,179,Renewable Energy and Sustainable Living,2,12
